X,Y,id,ESPECIE,FRECUENCIA,OBSERV,FOTOGRAFIA,CALIBRE,icon_url
-3.00060991146117,43.0410455039931,,Liquidambar styraciflua,,,DCIM/arboles_20220907163502643.jpg,"20",./22.png
-3.00056366568231,43.0410578392044,,Liquidambar styraciflua,,,DCIM/arboles_20220907163502643.jpg,"25",./22.png
-3.0005384407892,43.0410742859581,,Liquidambar styraciflua,,,DCIM/arboles_20220907163502643.jpg,"20",./22.png
-3.00049359646488,43.0410989561086,,Liquidambar styraciflua,,,DCIM/arboles_20220907163933539.jpg,"20",./22.png
-3.00046697012057,43.041112319109,,Liquidambar styraciflua,,,DCIM/arboles_20220907163933539.jpg,"20",./22.png
-3.00043333680229,43.0411256821298,,Liquidambar styraciflua,,,DCIM/arboles_20220907163933539.jpg,"20",./22.png
-3.00039549926462,43.0411349334974,,Liquidambar styraciflua,,,DCIM/arboles_20220907163933539.jpg,"20",./22.png
-3.0003660701158,43.0411513802273,,Liquidambar styraciflua,,,DCIM/arboles_20220907163933539.jpg,"20",./22.png
-3.00033523952983,43.0411626873812,,Liquidambar styraciflua,,,DCIM/arboles_20220907163933539.jpg,"20",./22.png
-3.00013885288955,43.0417736882529,,Robinia pseudoacacia,,,DCIM/arboles_20220912090052328.jpg,"35",./13.png
-3.0001178445039,43.0417491563746,,Robinia pseudoacacia,,,DCIM/arboles_20220912090122240.jpg,"25",./13.png
-3.00012599866783,43.0417431753789,,Robinia pseudoacacia,,,DCIM/arboles_20220912090153649.jpg,"25",./13.png
-3.00006948771952,43.0416759837975,,Robinia pseudoacacia,,,DCIM/arboles_20220912090238820.jpg,"20",./13.png
-3.00001711518901,43.041626662147,,Robinia pseudoacacia,,2 troncos,DCIM/arboles_20220912090411586.jpg,"10",./13.png
-2.9999840075113,43.0415952704729,,Robinia pseudoacacia,,2 troncos de tocón,DCIM/arboles_20220912090458115.jpg,"5",./13.png
-2.99996745368353,43.041582536111,,Robinia pseudoacacia,,,DCIM/arboles_20220912090528331.jpg,"10",./13.png
-3.00016267061438,43.0416473359557,,Ulmus pumila,,,DCIM/arboles_20220912090650657.jpg,"120",./0.png
-2.99985934657303,43.041491244369,,Platanus x hispanica,,,DCIM/arboles_20220912091204692.jpg,"85",./18.png
-2.9999168655894,43.0415395663611,,Fraxinus americana,,10 troncos,DCIM/arboles_20220912091456000.jpg,"5",./23.png
-2.99986737243803,43.0415160185691,,Prunus domestica,,,DCIM/arboles_20220912091601961.jpg,"5",./2.png
-2.99982331208536,43.0414949194771,,Robinia pseudoacacia,,,DCIM/arboles_20220912091720240.jpg,"5",./13.png
-2.99965560752642,43.0414319422004,,Robinia pseudoacacia,,,DCIM/arboles_20220912091826870.jpg,"35",./13.png
-2.99956191088551,43.041410342345,,Robinia pseudoacacia,,,DCIM/arboles_20220912091912441.jpg,"20",./13.png
-2.99951586579575,43.0413879571868,,Fraxinus excelsior,,5 troncos,DCIM/arboles_20220912092050546.jpg,"5",./4.png
-2.9997215717086,43.0414560654717,,Prunus domestica,,,DCIM/arboles_20220912092451069.jpg,"15",./2.png
-2.99960677734323,43.0413874213075,,Robinia pseudoacacia,,,DCIM/arboles_20220912092936705.jpg,"25",./13.png
-2.99969712819049,43.0414030411087,,Robinia pseudoacacia,,,DCIM/arboles_20220912093011777.jpg,"20",./13.png
-2.99968733984513,43.0414247498615,,Robinia pseudoacacia,,,DCIM/arboles_20220912093037843.jpg,"15",./13.png
-3.0008892117353,43.0409773704952,,Acer campestre,,,DCIM/arboles_20220912095324924.jpg,"25",./21.png
-3.00088602017466,43.0410064567536,,Acer campestre,,3 troncos,DCIM/arboles_20220912095432064.jpg,"15",./21.png
-3.00088675714352,43.0410313106193,,Populus alba,,,DCIM/arboles_20220912095631324.jpg,"40",./17.png
-3.00090099891049,43.0410734540289,,Populus alba,,,DCIM/arboles_20220912095728315.jpg,"40",./17.png
-3.00093893555412,43.0411481954374,,Populus alba,,,DCIM/arboles_20220912095807484.jpg,"40",./17.png
-3.00094838938882,43.0411897085276,,Populus nigra,,,DCIM/arboles_20220912095955596.jpg,"30",./16.png
-3.00096361328605,43.041225458352,,Populus alba,,,DCIM/arboles_20220912100024541.jpg,"40",./17.png
-3.0009704887574,43.0412515728679,,Populus nigra,,,DCIM/arboles_20220912100056598.jpg,"40",./16.png
-3.00098767731541,43.0413077640797,,Populus alba,,,DCIM/arboles_20220912100159174.jpg,"40",./17.png
-3.00099242395997,43.0413438631933,,Populus alba,,,DCIM/arboles_20220912100224735.jpg,"40",./17.png
-3.00101472775662,43.0413861241502,,Populus alba,,,DCIM/arboles_20220912100254146.jpg,"50",./17.png
-3.00104120661897,43.0414249189846,,Fraxinus excelsior,,,DCIM/arboles_20220912100344462.jpg,"20",./4.png
-3.00107582852907,43.0414799393682,,Populus nigra,,,DCIM/arboles_20220912100434919.jpg,"120",./16.png
-3.00109105243004,43.0415076747014,,Populus nigra,,,DCIM/arboles_20220912100506014.jpg,"120",./16.png
-3.00108292985934,43.041494573263,,Prunus cerasus,,,DCIM/arboles_20220912100549099.jpg,"40",./12.png
-3.00111781688114,43.041546396051,,Acer campestre,,,DCIM/arboles_20220912100712618.jpg,"50",./21.png
-3.00116741707234,43.0416142934441,,Populus nigra,,,DCIM/arboles_20220912100814791.jpg,"120",./16.png
-3.00118807684728,43.0416582303108,,Populus nigra,,,DCIM/arboles_20220912100849188.jpg,"120",./16.png
-3.00126648792875,43.0417924232386,,Populus nigra,,,DCIM/arboles_20220912100958556.jpg,"155",./16.png
-3.0012941619764,43.0418144126638,,Populus nigra,,,DCIM/arboles_20220912101040727.jpg,"100",./16.png
-3.00136411669938,43.0419057538262,,Populus alba,,,DCIM/arboles_20220912101326430.jpg,"35",./17.png
-3.00137487921047,43.0419299987892,,Prunus cerasus,,,DCIM/arboles_20220912101404090.jpg,"15",./12.png
-3.00139749519429,43.0419537802956,,Populus alba,,,DCIM/arboles_20220912101510152.jpg,"40",./17.png
-3.00141639074497,43.0419762331089,,Populus alba,,,DCIM/arboles_20220912101539393.jpg,"30",./17.png
-3.00121594765674,43.0418166630881,,Populus nigra,,Planton de tocón,DCIM/arboles_20220912101703101.jpg,"35",./16.png
-3.0014709857016,43.0420588020629,,Fraxinus excelsior,,,DCIM/arboles_20220912101824516.jpg,"50",./4.png
-3.00150886787757,43.0420927614468,,Populus alba,,,DCIM/arboles_20220912101906773.jpg,"35",./17.png
-3.00156765983998,43.0421463955596,,Acer campestre,,3 troncos,DCIM/arboles_20220912102037872.jpg,"20",./21.png
-3.00161173641927,43.0422180749387,,Fraxinus excelsior,,,DCIM/arboles_20220912102143310.jpg,"30",./4.png
-3.00163087648291,43.0422607607951,,Acer pseudoplatanus,,,DCIM/arboles_20220912102251485.jpg,"20",./5.png
-3.00163361135306,43.0422768060697,,Laburnum alpinum,,,DCIM/arboles_20220912102521059.jpg,"15",./24.png
-3.00165998760809,43.042300560268,,Populus nigra,,,DCIM/arboles_20220912102559542.jpg,"35",./16.png
-3.00169513863301,43.0423590374061,,Populus nigra,,,DCIM/arboles_20220912102642299.jpg,"20",./16.png
-3.00170980354715,43.0424075938756,,Populus nigra,,,DCIM/arboles_20220912102713117.jpg,"35",./16.png
-3.00172376911318,43.0424468571663,,Populus nigra,,,DCIM/arboles_20220912102741621.jpg,"25",./16.png
-3.00173308020517,43.0424980702865,,Prunus domestica,,,DCIM/arboles_20220912102845717.jpg,"20",./2.png
-3.00174249760972,43.0425777336686,,Populus nigra,,,DCIM/arboles_20220912102928030.jpg,"35",./16.png
-3.00174704834956,43.0426269567783,,Populus nigra,,,DCIM/arboles_20220912102953766.jpg,"45",./16.png
